id,word,meaning,,,,,,,,,,,,,,,wrong1,wrong2,wrong3,レベル,品詞
163,number,番号,,,,,,,,,,,,,,,大きい,けれども,必要,1,名詞
164,away,離れて,,,,,,,,,,,,,,,番号,大きい,けれども,1,副詞
165,family,家族,,,,,,,,,,,,,,,離れて,番号,大きい,1,名詞
166,tell,伝える,,,,,,,,,,,,,,,家族,離れて,番号,1,動詞
167,today,今日,,,,,,,,,,,,,,,伝える,家族,離れて,1,副詞
168,small,小さい,,,,,,,,,,,,,,,今日,伝える,家族,1,形容詞
169,high,高い,,,,,,,,,,,,,,,小さい,今日,伝える,1,形容詞
170,case,場合,,,,,,,,,,,,,,,高い,小さい,今日,1,名詞
171,lot,たくさん,,,,,,,,,,,,,,,場合,高い,小さい,1,名詞
172,little,少し,,,,,,,,,,,,,,,たくさん,場合,高い,1,形容詞
173,week,週間,,,,,,,,,,,,,,,少し,たくさん,場合,1,名詞
174,water,水,,,,,,,,,,,,,,,週間,少し,たくさん,1,名詞
175,put,置く,,,,,,,,,,,,,,,水,週間,少し,1,動詞
176,group,群,,,,,,,,,,,,,,,置く,水,週間,1,名詞
177,point,点,,,,,,,,,,,,,,,群,置く,水,1,名詞
178,fact,事実,,,,,,,,,,,,,,,点,群,置く,1,名詞
179,head,頭,,,,,,,,,,,,,,,事実,点,群,1,名詞
180,end,終わり,,,,,,,,,,,,,,,頭,事実,点,1,名詞
181,national,国際的な,,,,,,,,,,,,,,,終わり,頭,事実,1,形容詞
182,hand,手,,,,,,,,,,,,,,,国際的な,終わり,頭,1,名詞
183,country,国,,,,,,,,,,,,,,,手,国際的な,終わり,1,名詞
184,both,両方,,,,,,,,,,,,,,,国,手,国際的な,1,形容詞
185,president,社長,,,,,,,,,,,,,,,両方,国,手,1,名詞
186,yet,まだ,,,,,,,,,,,,,,,社長,両方,国,1,副詞
187,nothing,何もない,,,,,,,,,,,,,,,まだ,社長,両方,1,代名詞
188,home,家,,,,,,,,,,,,,,,何もない,まだ,社長,1,名詞
189,since,より,,,,,,,,,,,,,,,家,何もない,まだ,1,接続詞
190,room,部屋,,,,,,,,,,,,,,,より,家,何もない,1,名詞
191,side,側,,,,,,,,,,,,,,,部屋,より,家,1,名詞
192,system,システム,,,,,,,,,,,,,,,側,部屋,より,1,名詞
193,important,重要,,,,,,,,,,,,,,,システム,側,部屋,1,形容詞
194,city,都市,,,,,,,,,,,,,,,重要,システム,側,1,名詞
195,until,まで,,,,,,,,,,,,,,,都市,重要,システム,1,接続詞
196,long,長い,,,,,,,,,,,,,,,まで,都市,重要,1,形容詞
197,social,社会的な,,,,,,,,,,,,,,,長い,まで,都市,1,形容詞
198,often,しばしば,,,,,,,,,,,,,,,社会的な,長い,まで,1,副詞
199,keep,続ける,,,,,,,,,,,,,,,しばしば,社会的な,長い,1,動詞
200,mother,母親,,,,,,,,,,,,,,,続ける,しばしば,社会的な,1,名詞
201,ever,これまで,,,,,,,,,,,,,,,母親,続ける,しばしば,1,副詞
202,anything,何でも,,,,,,,,,,,,,,,これまで,母親,続ける,1,代名詞
203,use,使用,,,,,,,,,,,,,,,何でも,これまで,母親,1,動詞
204,actually,実際に,,,,,,,,,,,,,,,使用,何でも,これまで,1,副詞
205,eye,目,,,,,,,,,,,,,,,実際に,使用,何でも,1,名詞
206,young,若い,,,,,,,,,,,,,,,目,実際に,使用,1,形容詞
207,sure,確かに,,,,,,,,,,,,,,,若い,目,実際に,1,形容詞
208,once,かつて,,,,,,,,,,,,,,,確かに,若い,目,1,副詞
209,almost,ほとんど,,,,,,,,,,,,,,,かつて,確かに,若い,1,副詞
210,already,すでに,,,,,,,,,,,,,,,ほとんど,かつて,確かに,1,副詞
211,six,六,,,,,,,,,,,,,,,すでに,ほとんど,かつて,1,数詞
212,black,黒の,,,,,,,,,,,,,,,六,すでに,ほとんど,1,形容詞
213,war,戦争,,,,,,,,,,,,,,,黒の,六,すでに,1,名詞
214,business,ビジネス,,,,,,,,,,,,,,,戦争,黒の,六,1,名詞
215,help,助ける,,,,,,,,,,,,,,,ビジネス,戦争,黒の,1,動詞
216,let,させて,,,,,,,,,,,,,,,助ける,ビジネス,戦争,1,動詞
217,company,会社,,,,,,,,,,,,,,,させて,助ける,ビジネス,1,名詞
218,local,地元の,,,,,,,,,,,,,,,会社,させて,助ける,1,形容詞
219,feel,感じる,,,,,,,,,,,,,,,地元の,会社,させて,1,動詞
220,around,周辺,,,,,,,,,,,,,,,感じる,地元の,会社,1,前置詞
221,car,車,,,,,,,,,,,,,,,周辺,感じる,地元の,1,名詞
222,together,一緒に,,,,,,,,,,,,,,,車,周辺,感じる,1,副詞
223,second,第二,,,,,,,,,,,,,,,一緒に,車,周辺,1,序数詞
224,late,遅く,,,,,,,,,,,,,,,第二,一緒に,車,1,副詞
225,face,顔,,,,,,,,,,,,,,,遅く,第二,一緒に,1,名詞
226,information (info),情報,,,,,,,,,,,,,,,顔,遅く,第二,1,名詞
227,problem,問題,,,,,,,,,,,,,,,情報,顔,遅く,1,名詞
228,student,学生,,,,,,,,,,,,,,,問題,情報,顔,1,名詞
229,power,力,,,,,,,,,,,,,,,学生,問題,情報,1,名詞
230,course,口座,,,,,,,,,,,,,,,力,学生,問題,1,名詞
231,father,父,,,,,,,,,,,,,,,口座,力,学生,1,名詞
232,large,大きい,,,,,,,,,,,,,,,父,口座,力,1,形容詞
233,million,百万,,,,,,,,,,,,,,,大きい,父,口座,1,数詞
234,ago,前,,,,,,,,,,,,,,,百万,大きい,父,1,副詞
235,police,警察,,,,,,,,,,,,,,,前,百万,大きい,1,名詞
236,himself,彼自身,,,,,,,,,,,,,,,警察,前,百万,1,代名詞
237,far,遠い,,,,,,,,,,,,,,,彼自身,警察,前,1,副詞
238,party,パーティ,,,,,,,,,,,,,,,遠い,彼自身,警察,1,名詞
239,area,エリア,,,,,,,,,,,,,,,パーティ,遠い,彼自身,1,名詞
240,health,健康,,,,,,,,,,,,,,,エリア,パーティ,遠い,1,名詞
241,among,うち,,,,,,,,,,,,,,,健康,エリア,パーティ,1,前置詞
242,kind,種類,,,,,,,,,,,,,,,うち,健康,エリア,1,名詞
243,percent,パーセント,,,,,,,,,,,,,,,種類,うち,健康,1,名詞
244,door,によって,,,,,,,,,,,,,,,パーセント,種類,うち,1,名詞
245,question,質問,,,,,,,,,,,,,,,によって,パーセント,種類,1,名詞
246,able,有能,,,,,,,,,,,,,,,質問,によって,パーセント,1,形容詞
247,white,白の,,,,,,,,,,,,,,,有能,質問,によって,1,形容詞
248,real,本物,,,,,,,,,,,,,,,白の,有能,質問,1,形容詞
249,morning,朝,,,,,,,,,,,,,,,本物,白の,有能,1,名詞
250,believe,信じる,,,,,,,,,,,,,,,朝,本物,白の,1,動詞
251,enough,十分,,,,,,,,,,,,,,,信じる,朝,本物,1,副詞
252,job,仕事,,,,,,,,,,,,,,,十分,信じる,朝,1,名詞
253,call,呼ぶ,,,,,,,,,,,,,,,仕事,十分,信じる,1,動詞
254,ask,尋ねる,,,,,,,,,,,,,,,呼ぶ,仕事,十分,1,動詞
255,try,試す,,,,,,,,,,,,,,,尋ねる,呼ぶ,仕事,1,動詞
256,month,月,,,,,,,,,,,,,,,試す,尋ねる,呼ぶ,1,名詞
257,law,法律,,,,,,,,,,,,,,,月,試す,尋ねる,1,名詞
258,body,体,,,,,,,,,,,,,,,法律,月,試す,1,名詞
259,table,机,,,,,,,,,,,,,,,体,法律,月,1,名詞
260,name,名称,,,,,,,,,,,,,,,机,体,法律,1,名詞
261,book,書籍,,,,,,,,,,,,,,,名称,机,体,1,名詞
262,everything,すべて,,,,,,,,,,,,,,,書籍,名称,机,1,代名詞
263,across,を越えて,,,,,,,,,,,,,,,すべて,書籍,名称,1,前置詞
264,road,道路,,,,,,,,,,,,,,,を越えて,すべて,書籍,1,名詞
265,moment,瞬間,,,,,,,,,,,,,,,道路,を越えて,すべて,1,名詞
266,minute,微細,,,,,,,,,,,,,,,瞬間,道路,を越えて,1,名詞
267,team,チーム,,,,,,,,,,,,,,,微細,瞬間,道路,1,名詞
268,office,オフィス,,,,,,,,,,,,,,,チーム,微細,瞬間,1,名詞
269,else,それ以外,,,,,,,,,,,,,,,オフィス,チーム,微細,1,副詞
270,voice,声,,,,,,,,,,,,,,,それ以外,オフィス,チーム,1,名詞
271,person,人,,,,,,,,,,,,,,,声,それ以外,オフィス,1,名詞
272,line,線,,,,,,,,,,,,,,,人,声,それ以外,1,名詞
273,order,命令する,,,,,,,,,,,,,,,線,人,声,1,名詞
274,game,ゲーム,,,,,,,,,,,,,,,命令する,線,人,1,名詞
275,behind,後ろに,,,,,,,,,,,,,,,ゲーム,命令する,線,1,前置詞
276,full,満タン,,,,,,,,,,,,,,,後ろに,ゲーム,命令する,1,形容詞
277,word,言葉,,,,,,,,,,,,,,,満タン,後ろに,ゲーム,1,名詞
278,south,南,,,,,,,,,,,,,,,言葉,満タン,後ろに,1,名詞
279,news,ニュース,,,,,,,,,,,,,,,南,言葉,満タン,1,名詞
280,member,メンバー,,,,,,,,,,,,,,,ニュース,南,言葉,1,名詞
281,research,研究,,,,,,,,,,,,,,,メンバー,ニュース,南,1,名詞
282,idea,アイデア,,,,,,,,,,,,,,,研究,メンバー,ニュース,1,名詞
283,begin,始める,,,,,,,,,,,,,,,アイデア,研究,メンバー,1,動詞
284,someone,誰か,,,,,,,,,,,,,,,始める,アイデア,研究,1,代名詞
285,service,サービス,,,,,,,,,,,,,,,誰か,始める,アイデア,1,名詞
286,history,歴史,,,,,,,,,,,,,,,サービス,誰か,始める,1,名詞
287,study,研究,,,,,,,,,,,,,,,歴史,サービス,誰か,1,名詞
288,street,通り,,,,,,,,,,,,,,,研究,歴史,サービス,1,名詞
289,university,大学,,,,,,,,,,,,,,,通り,研究,歴史,1,名詞
290,art,美術,,,,,,,,,,,,,,,大学,通り,研究,1,名詞
291,story,話,,,,,,,,,,,,,,,美術,大学,通り,1,名詞
292,early,早い,,,,,,,,,,,,,,,話,美術,大学,1,形容詞
293,whole,全体,,,,,,,,,,,,,,,早い,話,美術,1,形容詞
294,remember,思い出す,,,,,,,,,,,,,,,全体,早い,話,1,動詞
295,half,半分,,,,,,,,,,,,,,,思い出す,全体,早い,1,形容詞
296,music,音楽,,,,,,,,,,,,,,,半分,思い出す,全体,1,名詞
297,themselves,彼ら自身,,,,,,,,,,,,,,,音楽,半分,思い出す,1,代名詞
298,age,年齢,,,,,,,,,,,,,,,彼ら自身,音楽,半分,1,名詞
299,hour,時,,,,,,,,,,,,,,,年齢,彼ら自身,音楽,1,名詞
300,north,北,,,,,,,,,,,,,,,時,年齢,彼ら自身,1,名詞
301,maybe,もしかしたら,,,,,,,,,,,,,,,北,時,年齢,1,副詞
302,care,ケア,,,,,,,,,,,,,,,もしかしたら,北,時,1,名詞
303,food,食品,,,,,,,,,,,,,,,ケア,もしかしたら,北,1,名詞
304,parent,親,,,,,,,,,,,,,,,食品,ケア,もしかしたら,1,名詞
305,bad,悪い,,,,,,,,,,,,,,,親,食品,ケア,1,形容詞
306,major,主要な,,,,,,,,,,,,,,,悪い,親,食品,1,形容詞
307,yesterday,昨日,,,,,,,,,,,,,,,主要な,悪い,親,1,副詞
308,talk,話す,,,,,,,,,,,,,,,昨日,主要な,悪い,1,動詞
309,sometimes,時々,,,,,,,,,,,,,,,話す,昨日,主要な,1,副詞
310,human,人間的な,,,,,,,,,,,,,,,時々,話す,昨日,1,形容詞
311,thank,礼を言う,,,,,,,,,,,,,,,人間的な,時々,話す,1,動詞
312,free,無料,,,,,,,,,,,,,,,礼を言う,人間的な,時々,1,形容詞
313,better,より良い,,,,,,,,,,,,,,,無料,礼を言う,人間的な,1,副詞
314,west,西,,,,,,,,,,,,,,,より良い,無料,礼を言う,1,名詞
315,mind,心,,,,,,,,,,,,,,,西,より良い,無料,1,名詞
316,along,に沿って,,,,,,,,,,,,,,,心,西,より良い,1,前置詞
317,leave,去る,,,,,,,,,,,,,,,に沿って,心,西,1,動詞
318,special,特別,,,,,,,,,,,,,,,去る,に沿って,心,1,形容詞
319,market,市場,,,,,,,,,,,,,,,特別,去る,に沿って,1,名詞
320,international,国際,,,,,,,,,,,,,,,市場,特別,去る,1,形容詞
321,show,見せるしょ,,,,,,,,,,,,,,,国際,市場,特別,1,動詞
322,turn,振り向く,,,,,,,,,,,,,,,見せるしょ,国際,市場,1,動詞
323,play,遊ぶ,,,,,,,,,,,,,,,振り向く,見せるしょ,国際,1,動詞
324,third,三番,,,,,,,,,,,,,,,遊ぶ,振り向く,見せるしょ,1,序数詞
325,become,になる,,,,,,,,,,,,,,,三番,遊ぶ,振り向く,1,動詞
326,true,真の,,,,,,,,,,,,,,,になる,三番,遊ぶ,1,形容詞
327,hundred,百,,,,,,,,,,,,,,,真の,になる,三番,1,数詞
328,either,いずれも,,,,,,,,,,,,,,,百,真の,になる,1,副詞
329,wife,妻,,,,,,,,,,,,,,,いずれも,百,真の,1,名詞
330,hair,紙,,,,,,,,,,,,,,,妻,いずれも,百,1,名詞
331,view,景観,,,,,,,,,,,,,,,紙,妻,いずれも,1,名詞
332,eight,8,,,,,,,,,,,,,,,景観,紙,妻,1,数詞
333,understand,理解する,,,,,,,,,,,,,,,8,景観,紙,1,動詞
334,hear,聞く,,,,,,,,,,,,,,,理解する,8,景観,1,動詞
335,ten,10,,,,,,,,,,,,,,,聞く,理解する,8,1,数詞
336,difficult,難しい,,,,,,,,,,,,,,,10,聞く,理解する,1,形容詞
337,whose,その,,,,,,,,,,,,,,,難しい,10,聞く,1,形容詞
338,town,町,,,,,,,,,,,,,,,その,難しい,10,1,名詞
339,clear,クリア,,,,,,,,,,,,,,,町,その,難しい,1,形容詞
340,seven,7,,,,,,,,,,,,,,,クリア,町,その,1,数詞
341,start,始める,,,,,,,,,,,,,,,7,クリア,町,1,動詞
342,open,空いた,,,,,,,,,,,,,,,始める,7,クリア,1,形容詞
343,reason,理由,,,,,,,,,,,,,,,空いた,始める,7,1,名詞
344,season,季節,,,,,,,,,,,,,,,理由,空いた,始める,1,名詞
345,live,生きる,,,,,,,,,,,,,,,季節,理由,空いた,1,動詞
346,bring,持ってくる,,,,,,,,,,,,,,,生きる,季節,理由,1,動詞
347,hard,難しい,,,,,,,,,,,,,,,持ってくる,生きる,季節,1,形容詞
348,girl,女の子,,,,,,,,,,,,,,,難しい,持ってくる,生きる,1,名詞
349,friend,友人,,,,,,,,,,,,,,,女の子,難しい,持ってくる,1,名詞
350,especially,特に,,,,,,,,,,,,,,,友人,女の子,難しい,1,副詞
351,foot,足,,,,,,,,,,,,,,,特に,友人,女の子,1,名詞
352,action,アクション,,,,,,,,,,,,,,,足,特に,友人,1,名詞
353,program,プログラム,,,,,,,,,,,,,,,アクション,足,特に,1,名詞
354,building,建物,,,,,,,,,,,,,,,プログラム,アクション,足,1,名詞
355,support,サポート,,,,,,,,,,,,,,,建物,プログラム,アクション,1,名詞
356,class,クラス,,,,,,,,,,,,,,,サポート,建物,プログラム,1,名詞
357,experience,経験,,,,,,,,,,,,,,,クラス,サポート,建物,1,名詞
358,heart,ハート,,,,,,,,,,,,,,,経験,クラス,サポート,1,名詞
359,data,データ,,,,,,,,,,,,,,,ハート,経験,クラス,1,名詞
360,everyone,みんな,,,,,,,,,,,,,,,データ,ハート,経験,1,代名詞
361,love,愛,,,,,,,,,,,,,,,みんな,データ,ハート,1,名詞
362,ground,地面,,,,,,,,,,,,,,,愛,みんな,データ,1,名詞
